#Table: J/AJ/137/3100/table4.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Scl-0035|20B |3286.629|01 01 01.55 -33 42 07.1|19.57| 1.03| 121.0| 1.9| 0.33|0.02| 0.28|0.04|1.000|     |   |     |
Scl-0036|20B |3286.629|01 01 01.64 -33 43 25.5|19.92| 1.04| 106.6| 2.2| 0.35|0.02| 0.42|0.04|1.000|     |   |     |
Scl-0037|20B |3286.629|01 01 01.43 -33 49 20.5|18.58| 1.23| 127.0| 0.7| 0.32|0.01| 0.40|0.03|1.000|127.0|0.7| 0.39|0.03
Scl-0037|1R  |4017.555|01 01 01.43 -33 49 20.5|18.58| 1.23| 126.4| 2.6| 0.29|0.03| 0.26|0.09|     |     |   |     |
Scl-0038|20B |3286.629|01 01 04.45 -33 48 48.7|19.49| 1.03| 111.7| 2.9| 0.31|0.02| 0.26|0.05|1.000|111.2|1.7| 0.28|0.04
Scl-0038|1R  |4017.555|01 01 04.45 -33 48 48.7|19.49| 1.03| 110.9| 2.1| 0.25|0.07| 0.43|0.12|     |     |   |     |
Scl-0039|20B |3286.629|01 01 03.55 -33 48 18.0|19.66| 1.12| 109.6| 3.3| 0.32|0.03| 0.55|0.05|0.998|     |   |     |
Scl-0040|20B |3286.629|01 01 03.26 -33 47 59.2|19.86| 1.03| 117.6| 3.6| 0.26|0.04| 0.42|0.06|1.000|113.4|3.1| 0.43|0.06
Scl-0040|1R  |4017.555|01 01 03.26 -33 47 59.2|19.86| 1.03| 103.5| 5.6| 0.48|0.08| 0.52|0.17|     |     |   |     |
Scl-0041|20B |3286.629|01 01 04.16 -33 46 55.9|19.81| 1.17| 105.7| 2.5| 0.43|0.02| 0.20|0.07|1.000|106.4|1.0| 0.27|0.06
Scl-0041|1B  |4017.555|01 01 04.16 -33 46 55.9|19.81| 1.17| 106.6| 1.1| 0.47|0.05| 0.47|0.11|     |     |   |     |
Scl-0042|20B |3286.629|01 01 14.17 -33 43 59.1|19.15| 1.16| 101.8| 1.2| 0.35|0.02| 0.27|0.04|1.000|103.2|0.7| 0.23|0.03
Scl-0042|1B  |4017.555|01 01 14.17 -33 43 59.1|19.15| 1.16| 104.0| 0.9| 0.37|0.03| 0.04|0.08|     |     |   |     |
Scl-0043|20B |3286.629|01 01 02.58 -33 46 26.0|19.54| 1.10| 111.2| 3.7| 0.22|0.03| 0.35|0.05|1.000|112.4|1.1| 0.37|0.04
Scl-0043|1B  |4017.555|01 01 02.58 -33 46 26.0|19.54| 1.10| 112.5| 1.2| 0.32|0.04| 0.42|0.08|     |     |   |     |
Scl-0044|20B |3286.629|01 01 05.58 -33 45 13.1|19.96| 0.95| 103.0| 3.7| 0.29|0.03| 0.37|0.05|1.000|     |   |     |
Scl-0045|20B |3286.629|01 01 07.41 -33 44 56.5|19.31| 1.17| 109.0| 1.0| 0.31|0.02| 0.45|0.03|1.000|108.9|1.0| 0.45|0.03
Scl-0045|1R  |4017.555|01 01 07.41 -33 44 56.5|19.31| 1.17| 107.4| 4.3| 0.26|0.08| 0.42|0.14|     |     |   |     |
Scl-0046|20B |3286.629|01 01 11.54 -33 44 10.0|18.43| 1.25| 124.1| 0.8| 0.39|0.01| 0.36|0.03|1.000|124.2|0.7| 0.35|0.02
Scl-0046|1R  |4017.555|01 01 11.54 -33 44 10.0|18.43| 1.25| 124.8| 1.5| 0.33|0.03| 0.27|0.09|     |     |   |     |
Scl-0047|20B |3286.629|01 01 13.19 -33 43 20.6|18.95| 1.13| 111.7| 0.9| 0.29|0.01| 0.35|0.02|1.000|110.7|0.6| 0.33|0.02
Scl-0047|1B  |4017.555|01 01 13.19 -33 43 20.6|18.95| 1.13| 109.9| 0.8| 0.34|0.02| 0.19|0.05|     |     |   |     |
Scl-0048|20B |3286.629|01 01 07.70 -33 36 29.3|19.75| 1.06| 105.9| 2.2| 0.34|0.02| 0.26|0.05|1.000|105.7|1.2| 0.28|0.04
Scl-0048|4B  |3288.571|01 01 07.70 -33 36 29.3|19.75| 1.06| 105.7| 1.4| 0.30|0.03| 0.31|0.06|     |     |   |     |
Scl-0049|20B |3286.629|01 01 07.38 -33 37 57.5|19.71| 1.05| 104.3| 4.7| 0.24|0.02| 0.26|0.05|1.000|105.7|3.0| 0.26|0.05
Scl-0049|4B  |3288.571|01 01 07.38 -33 37 57.5|19.71| 1.05| 106.7| 3.9|     |    |     |    |     |     |   |     |
Scl-0050|20B |3286.629|01 01 13.19 -33 38 34.5|18.52| 1.15| 123.5| 1.3| 0.31|0.01| 0.32|0.03|1.000|     |   |     |
Scl-0051|20B |3286.629|01 01 10.61 -33 39 32.0|19.60| 1.11|  80.2| 4.3| 0.37|0.02| 0.30|0.05|0.007| 82.6|2.6| 0.70|0.04
Scl-0051|4B  |3288.571|01 01 10.61 -33 39 32.0|19.60| 1.11|  84.0| 3.2| 0.47|0.06| 1.30|0.06|     |     |   |     |
Scl-0052|20B |3286.629|01 01 15.18 -33 39 35.9|18.62| 1.27| 109.1| 0.5| 0.42|0.01| 0.38|0.02|1.000|     |   |     |
Scl-0053|20B |3286.629|01 01 16.50 -33 41 09.6|19.36| 1.10| 136.1| 1.2| 0.31|0.02| 0.30|0.03|0.998|     |   |     |
Scl-0054|20B |3286.629|01 01 20.09 -33 41 45.4|18.73| 1.24| 109.1| 0.5| 0.38|0.01| 0.47|0.02|1.000|     |   |     |
Scl-0055|20B |3286.629|01 01 17.00 -33 41 57.8|19.60| 1.12| 110.5| 1.1| 0.36|0.02| 0.41|0.04|1.000|     |   |     |
Scl-0056|20B |3286.629|01 01 15.85 -33 37 07.9|19.25| 1.00| 111.8| 2.0| 0.29|0.02| 0.30|0.04|1.000|     |   |     |
Scl-0057|20B |3286.629|01 01 17.52 -33 37 41.6|19.12| 1.05| 107.9| 2.1| 0.30|0.02| 0.26|0.03|1.000|     |   |     |
Scl-0058|20B |3286.629|01 01 17.26 -33 39 16.5|18.98| 1.11| 115.9| 0.5| 0.43|0.01| 0.36|0.03|1.000|     |   |     |
Scl-0059|20B |3286.629|01 01 21.56 -33 40 17.9|19.96| 0.98| 107.4| 1.7| 0.32|0.02| 0.38|0.04|1.000|     |   |     |
Scl-0060|20B |3286.629|01 01 23.15 -33 41 04.8|18.50| 1.13| 120.2| 0.6| 0.37|0.01| 0.39|0.02|1.000|     |   |     |
Scl-0061|20B |3286.629|01 01 26.20 -33 41 20.2|18.86| 1.18|  84.2| 0.7| 0.36|0.01| 0.37|0.02|0.980|     |   |     |
Scl-0062|20B |3286.629|01 01 26.94 -33 41 44.3|18.77| 1.26| -11.4| 2.0| 0.35|0.02| 0.84|0.03|0.000|     |   |     |
Scl-0063|20B |3286.629|01 01 19.64 -33 49 27.1|19.46| 1.00| 101.7| 3.4| 0.33|0.02| 0.35|0.05|1.000|     |   |     |
