Target	Field	HJD	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Vmag	V-I	HV	e_HV	SigFe	e_SigFe	SigMg	e_SigMg	Mmb	<HV>	e_<HV>	<SigMg>	e_<SigMg>
---	---	d	h	min	s	---	deg	arcmin	arcsec	mag	mag	km/s	km/s	0.1nm	0.1nm	0.1nm	0.1nm	---	km/s	km/s	0.1nm	0.1nm
--------	----	--------	--	--	-----	-	--	--	----	-----	-----	------	----	-----	----	-----	----	-----	-----	---	-----	----
Car-0094	1B  	3088.572	06	41	04.94	-	50	56	21.9	20.48	 0.77	 224.6	 4.8	     	    	     	    	0.998	     	   	     	
Car-0095	1B  	3088.572	06	40	57.46	-	50	59	33.8	20.10	 0.95	 229.2	 4.4	 0.28	0.02	 0.24	0.06	1.000	228.8	3.9	 0.24	0.06
Car-0095	1R  	4122.587	06	40	57.46	-	50	59	33.8	20.10	 0.95	 227.5	 7.8	     	    	     	    	     	     	   	     	
Car-0096	1B  	3088.572	06	40	59.83	-	50	58	56.7	20.46	 0.74	 213.2	 4.7	 0.33	0.03	 0.09	0.08	1.000	     	   	     	
Car-0097	1B  	3088.572	06	41	01.85	-	50	58	36.7	20.39	 0.77	 224.3	 5.7	 0.31	0.03	 0.39	0.06	1.000	242.7	3.0	 0.39	0.06
Car-0097	1B  	4122.701	06	41	01.85	-	50	58	36.7	20.39	 0.77	 249.5	 3.5	     	    	     	    	     	     	   	     	
Car-0098	1B  	3088.572	06	41	03.88	-	50	57	41.1	19.55	 0.96	 227.9	 0.8	 0.38	0.02	 0.39	0.04	1.000	228.5	0.7	 0.44	0.03
Car-0098	12B 	3090.551	06	41	03.88	-	50	57	41.1	19.55	 0.96	 231.2	 1.7	 0.32	0.04	 0.58	0.06	     	     	   	     	
Car-0099	1B  	3088.572	06	41	03.59	-	50	57	04.9	18.00	 1.30	 239.2	 0.6	 0.43	0.01	 0.52	0.01	0.994	239.6	0.6	 0.52	0.01
Car-0099	12R 	3090.551	06	41	03.59	-	50	57	04.9	18.00	 1.30	 241.3	 1.8	 0.38	0.02	 0.52	0.08	     	     	   	     	
Car-0099	1R  	4122.587	06	41	03.59	-	50	57	04.9	18.00	 1.30	 241.5	 1.8	     	    	     	    	     	     	   	     	
Car-0100	1B  	3088.572	06	40	50.93	-	50	58	49.8	20.47	 0.99	 224.9	 3.6	 0.41	0.03	 0.18	0.08	1.000	225.4	2.2	 0.25	0.07
Car-0100	12B 	3090.551	06	40	50.93	-	50	58	49.8	20.47	 0.99	 229.5	 4.0	 0.35	0.06	 0.42	0.12	     	     	   	     	
Car-0100	1B  	4123.555	06	40	50.93	-	50	58	49.8	20.47	 0.99	 222.2	 4.0	     	    	     	    	     	     	   	     	
Car-0101	1B  	3088.572	06	40	53.66	-	50	58	41.0	20.23	 0.87	 223.4	 3.4	 0.35	0.03	 0.15	0.07	1.000	223.7	1.6	 0.15	0.07
Car-0101	1B  	4122.701	06	40	53.66	-	50	58	41.0	20.23	 0.87	 223.8	 1.8	     	    	     	    	     	     	   	     	
Car-0102	1B  	3088.572	06	40	56.72	-	50	57	19.3	19.38	 1.00	 210.8	 1.5	 0.37	0.01	 0.38	0.03	1.000	     	   	     	
Car-0103	1B  	3088.572	06	40	50.73	-	50	56	47.1	20.06	 0.98	 222.8	 1.9	 0.33	0.02	 0.51	0.04	1.000	     	   	     	
Car-0104	1B  	3088.572	06	40	54.33	-	50	56	44.0	20.23	 1.00	  72.9	 4.5	 0.34	0.04	 0.18	0.11	0.000	     	   	     	
Car-0105	1B  	3088.572	06	40	55.31	-	50	56	08.9	20.36	 0.72	 229.9	 4.2	 0.38	0.04	 0.46	0.08	1.000	230.1	2.6	 0.46	0.08
Car-0105	1B  	4122.701	06	40	55.31	-	50	56	08.9	20.36	 0.72	 230.2	 3.4	     	    	     	    	     	     	   	     	
Car-0106	1B  	3088.572	06	41	23.64	-	50	53	04.0	19.39	 1.02	  77.5	 0.6	 0.40	0.02	 0.82	0.03	0.000	 79.5	0.6	 0.82	0.03
Car-0106	1R  	4122.587	06	41	23.64	-	50	53	04.0	19.39	 1.02	  90.4	 1.4	     	    	     	    	     	     	   	     	
Car-0107	1B  	3088.572	06	41	24.80	-	50	55	54.4	20.33	 0.82	 229.3	 4.0	 0.33	0.03	 0.17	0.07	1.000	230.2	2.6	 0.17	0.07
Car-0107	1B  	4122.587	06	41	24.80	-	50	55	54.4	20.33	 0.82	 231.0	 3.5	     	    	     	    	     	     	   	     	
Car-0108	1B  	3088.572	06	41	18.22	-	50	56	41.1	20.54	 0.82	 225.6	 4.2	 0.31	0.03	 0.44	0.06	1.000	     	   	     	
Car-0109	1B  	3088.572	06	41	22.65	-	50	56	49.2	20.21	 0.97	 220.2	 2.7	 0.32	0.03	 0.31	0.07	1.000	220.5	1.4	 0.31	0.07
Car-0109	1B  	4122.701	06	41	22.65	-	50	56	49.2	20.21	 0.97	 220.6	 1.6	     	    	     	    	     	     	   	     	
Car-0110	1B  	3088.572	06	41	28.88	-	50	49	50.2	20.37	 0.86	 216.8	 5.9	 0.30	0.04	 0.43	0.07	1.000	217.8	4.1	 0.43	0.07
Car-0110	1B  	4120.709	06	41	28.88	-	50	49	50.2	20.37	 0.86	 218.8	 5.7	     	    	     	    	     	     	   	     	
Car-0111	1B  	3088.572	06	41	29.58	-	50	51	11.1	20.26	 0.85	 229.7	 2.7	 0.35	0.03	 0.39	0.06	1.000	     	   	     	
Car-0112	1B  	3088.572	06	41	30.01	-	50	52	31.8	20.36	 0.89	 220.8	 4.9	 0.32	0.03	 0.24	0.07	1.000	     	   	     	
Car-0113	1B  	3088.572	06	41	28.54	-	50	53	00.8	19.92	 1.11	 216.1	 4.0	 0.32	0.03	 0.32	0.06	1.000	     	   	     	
Car-0114	1B  	3088.572	06	41	29.09	-	50	56	07.5	20.26	 1.07	 219.9	 4.2	 0.32	0.03	 0.44	0.06	1.000	219.8	1.6	 0.44	0.06
Car-0114	1B  	4122.587	06	41	29.09	-	50	56	07.5	20.26	 1.07	 219.8	 1.8	     	    	     	    	     	     	   	     	
Car-0115	1B  	3088.572	06	41	11.76	-	51	02	42.7	19.71	 0.94	 217.9	 1.0	 0.42	0.02	 0.54	0.04	0.999	218.5	0.9	 0.54	0.04
Car-0115	12B 	3090.551	06	41	11.76	-	51	02	42.7	19.71	 0.94	 221.6	 2.3	     	    	     	    	     	     	   	     	
Car-0116	1B  	3088.572	06	41	09.23	-	51	01	05.8	20.48	 0.66	 229.7	 4.1	 0.33	0.03	 0.35	0.07	1.000	     	   	     	
Car-0117	1B  	3088.572	06	41	10.99	-	50	59	58.6	20.37	 0.91	 219.2	 3.4	 0.30	0.03	 0.33	0.07	1.000	     	   	     	
Car-0118	1B  	3088.572	06	41	18.32	-	50	58	07.8	19.30	 0.99	 220.6	 1.2	 0.39	0.02	 0.42	0.04	1.000	221.9	1.0	 0.46	0.03
Car-0118	12B 	3090.551	06	41	18.32	-	50	58	07.8	19.30	 0.99	 224.1	 1.7	 0.29	0.03	 0.51	0.05	     	     	   	     	
Car-0118	1R  	4122.701	06	41	18.32	-	50	58	07.8	19.30	 0.99	 227.6	 6.3	     	    	     	    	     	     	   	     	
Car-0119	1B  	3088.572	06	41	06.91	-	51	02	39.3	19.69	 0.92	 226.4	 3.5	 0.37	0.02	 0.35	0.05	1.000	227.6	1.2	 0.37	0.04
Car-0119	11B 	3091.521	06	41	06.91	-	51	02	39.3	19.69	 0.92	 228.0	 1.3	 0.34	0.03	 0.40	0.06	     	     	   	     	
Car-0119	1R  	4557.518	06	41	06.91	-	51	02	39.3	19.69	 0.92	 222.1	 5.7	 0.56	0.13	 0.12	0.40	     	     	   	     	
Car-0120	1B  	3088.572	06	41	08.64	-	51	02	14.7	20.54	 0.79	 211.3	 4.0	 0.34	0.03	 0.33	0.07	1.000	211.2	3.0	 0.35	0.06
Car-0120	12B 	3090.551	06	41	08.64	-	51	02	14.7	20.54	 0.79	 211.0	 4.5	 0.33	0.06	 0.42	0.14	     	     	   	     	
Car-0121	1B  	3088.572	06	41	05.23	-	51	00	27.4	19.68	 0.98	 211.6	 1.5	 0.31	0.02	 0.38	0.03	1.000	     	   	     	
Car-0122	1B  	3088.572	06	41	06.49	-	50	59	53.1	19.68	 0.96	 221.5	 0.8	 0.37	0.02	 0.50	0.03	1.000	221.6	0.8	 0.50	0.03
Car-0122	1R  	4554.518	06	41	06.49	-	50	59	53.1	19.68	 0.96	 228.8	 6.1	-0.55	0.88	 0.62	0.19	     	     	   	     	
Car-0123	1B  	3088.572	06	41	46.00	-	50	51	00.5	18.19	 1.35	 223.1	 1.0	 0.36	0.01	 0.42	0.02	1.000	223.2	0.9	 0.43	0.02
Car-0123	1R  	4120.709	06	41	46.00	-	50	51	00.5	18.19	 1.35	 230.0	 7.7	     	    	     	    	     	     	   	     	
Car-0123	1R  	4557.518	06	41	46.00	-	50	51	00.5	18.19	 1.35	 223.6	 3.5	 0.44	0.06	 0.60	0.12	     	     	   	     	
Car-0124	1B  	3088.572	06	41	45.40	-	50	52	00.6	20.42	 0.85	 213.5	 5.9	 0.46	0.07	 0.07	0.34	1.000	217.1	2.3	 0.31	0.09
Car-0124	1B  	4120.709	06	41	45.40	-	50	52	00.6	20.42	 0.85	 223.1	 4.2	     	    	     	    	     	     	   	     	
Car-0124	1B  	4557.518	06	41	45.40	-	50	52	00.6	20.42	 0.85	 214.8	 3.0	     	    	 0.32	0.09	     	     	   	     	
Car-0125	1B  	3088.572	06	41	41.10	-	50	55	01.6	20.30	 1.03	 210.0	 3.1	 0.35	0.04	 0.30	0.11	1.000	208.4	1.4	 0.30	0.11
Car-0125	1B  	4122.587	06	41	41.10	-	50	55	01.6	20.30	 1.03	 208.1	 1.5	     	    	     	    	     	     	   	     	
Car-0126	1B  	3088.572	06	41	36.49	-	50	56	23.2	17.92	 1.39	 218.2	 0.5	 0.51	0.01	 0.54	0.02	1.000	218.9	0.5	 0.53	0.02
Car-0126	1R  	4123.555	06	41	36.49	-	50	56	23.2	17.92	 1.39	 218.6	 1.8	     	    	     	    	     	     	   	     	
Car-0126	1R  	4554.518	06	41	36.49	-	50	56	23.2	17.92	 1.39	 225.7	 1.6	 0.44	0.04	 0.40	0.11	     	     	   	     	
Car-0127	1B  	3088.572	06	41	34.39	-	50	56	28.1	20.42	 0.95	 225.7	 4.1	 0.34	0.05	 0.19	0.14	1.000	     	   	     	
Car-0128	1B  	3088.572	06	41	49.10	-	50	51	20.2	20.21	 0.95	  63.0	 1.5	 0.34	0.05	 0.82	0.07	0.000	     	   	     	
Car-0129	1B  	3088.572	06	41	51.59	-	50	51	53.9	20.48	 0.99	 230.9	 4.5	 0.23	0.11	 0.63	0.13	0.994	     	   	     	
Car-0130	1B  	3088.572	06	41	55.41	-	50	55	40.7	20.57	 0.84	 226.4	 4.3	 0.42	0.06	 0.26	0.15	1.000	     	   	     	
Car-0131	1B  	3088.572	06	41	38.19	-	50	59	28.6	20.52	 0.85	 225.4	 3.2	 0.29	0.05	 0.48	0.08	1.000	     	   	     	
Car-0132	1B  	3088.572	06	41	37.56	-	50	59	12.9	19.43	 1.14	 221.9	 1.2	 0.37	0.02	 0.45	0.04	1.000	221.9	1.2	 0.45	0.04
Car-0132	1R  	4557.518	06	41	37.56	-	50	59	12.9	19.43	 1.14	 224.2	 7.5	 0.51	0.10	 0.54	0.22	     	     	   	     	
Car-0133	1B  	3088.572	06	41	38.59	-	50	58	59.6	20.56	 0.90	 227.6	 2.8	 0.50	0.04	 0.53	0.10	1.000	     	   	     	
Car-0134	1B  	3088.572	06	41	37.06	-	50	57	14.0	20.22	 0.89	 228.5	 3.6	 0.38	0.04	 0.40	0.08	1.000	228.9	2.1	 0.40	0.08
Car-0134	1B  	4122.587	06	41	37.06	-	50	57	14.0	20.22	 0.89	 229.1	 2.6	     	    	     	    	     	     	   	     	
Car-0135	1B  	3088.572	06	41	31.70	-	51	00	29.8	19.95	 0.92	 213.9	 2.2	 0.42	0.03	 0.45	0.06	1.000	214.4	2.2	 0.46	0.05
Car-0135	11R 	3091.521	06	41	31.70	-	51	00	29.8	19.95	 0.92	 224.3	10.6	 0.36	0.05	 0.48	0.11	     	     	   	     	
Car-0136	1B  	3088.572	06	41	31.53	-	50	58	37.9	20.10	 1.03	 230.4	 2.6	 0.29	0.03	 0.33	0.06	1.000	     	   	     	
Car-0137	1B  	3088.572	06	41	30.97	-	50	58	05.0	19.89	 1.00	 229.1	 1.9	 0.39	0.02	 0.47	0.05	1.000	     	   	     	
Car-0138	1B  	3088.572	06	41	33.73	-	50	57	31.6	19.90	 1.11	 211.8	 2.3	 0.29	0.03	 0.56	0.05	1.000	     	   	     	
Car-0139	1B  	3088.572	06	41	31.16	-	50	57	26.0	20.35	 0.99	 221.5	 2.7	 0.35	0.03	 0.39	0.07	1.000	223.5	2.1	 0.37	0.06
Car-0139	1B  	4554.518	06	41	31.16	-	50	57	26.0	20.35	 0.99	 226.7	 3.5	     	    	 0.32	0.11	     	     	   	     	
Car-0140	1B  	3088.572	06	42	08.69	-	50	54	08.2	20.09	 0.95	 226.2	 4.5	 0.26	0.05	 0.40	0.09	1.000	     	   	     	
Car-0141	1B  	3088.572	06	42	14.57	-	50	54	20.0	19.31	 1.16	  30.8	 1.6	 0.38	0.03	 0.64	0.05	0.000	 30.7	1.5	 0.68	0.05
Car-0141	25R 	3411.554	06	42	14.57	-	50	54	20.0	19.31	 1.16	  29.4	 6.2	 0.28	0.11	 0.85	0.12	     	     	   	     	
Car-0142	1B  	3088.572	06	42	09.37	-	50	55	14.1	19.19	 1.07	 221.1	 1.4	 0.36	0.02	 0.33	0.05	1.000	220.8	1.3	 0.34	0.05
Car-0142	25R 	3411.554	06	42	09.37	-	50	55	14.1	19.19	 1.07	 228.5	 8.1	 0.37	0.06	 0.38	0.13	     	     	   	     	
Car-0142	1R  	4122.701	06	42	09.37	-	50	55	14.1	19.19	 1.07	 216.8	 3.9	     	    	     	    	     	     	   	     	
Car-0143	1B  	3088.572	06	42	01.15	-	51	01	37.5	20.58	 0.81	 -64.3	 5.7	 0.17	0.14	 0.71	0.15	0.000	     	   	     	
Car-0144	1B  	3088.572	06	42	01.48	-	50	59	31.3	19.92	 0.95	 214.2	 5.5	     	    	     	    	0.999	215.2	4.9	 0.57	0.12
Car-0144	13R 	3410.547	06	42	01.48	-	50	59	31.3	19.92	 0.95	 220.2	11.7	 0.28	0.07	 0.57	0.12	     	     	   	     	
Car-0145	1B  	3088.572	06	42	03.67	-	50	58	05.3	20.23	 0.94	 219.5	 3.6	     	    	     	    	1.000	220.7	1.6	 0.52	0.13
Car-0145	1B  	4557.518	06	42	03.67	-	50	58	05.3	20.23	 0.94	 221.0	 1.8	 0.34	0.07	 0.52	0.13	     	     	   	     	
Car-0146	1B  	3088.572	06	42	03.44	-	50	56	22.5	19.22	 1.25	 223.7	 2.3	     	    	     	    	0.998	220.1	1.3	     	
Car-0146	1R  	4122.701	06	42	03.44	-	50	56	22.5	19.22	 1.25	 218.2	 1.7	     	    	     	    	     	     	   	     	
Car-0147	1B  	3088.572	06	41	58.75	-	50	57	31.8	19.79	 1.04	 210.2	 4.4	 0.39	0.03	 0.41	0.07	1.000	212.1	3.1	 0.41	0.07
Car-0147	1R  	4123.555	06	41	58.75	-	50	57	31.8	19.79	 1.04	 213.6	 6.0	     	    	     	    	     	     	   	     	
Car-0147	1R  	4554.518	06	41	58.75	-	50	57	31.8	19.79	 1.04	 214.7	 7.0	 0.24	0.21	 0.39	0.30	     	     	   	     	
Car-0148	1B  	3088.572	06	42	00.21	-	50	56	51.4	20.44	 0.83	 217.3	 4.3	 0.28	0.04	 0.22	0.09	1.000	     	   	     	
Car-0149	1R  	3088.572	06	41	00.88	-	51	01	32.4	19.19	 0.98	 220.8	 7.6	 0.36	0.02	 0.23	0.08	1.000	221.7	2.5	 0.16	0.06
Car-0149	12B 	3090.551	06	41	00.88	-	51	01	32.4	19.19	 0.98	 224.1	 3.5	 0.37	0.03	 0.06	0.09	     	     	   	     	
Car-0149	1R  	4554.518	06	41	00.88	-	51	01	32.4	19.19	 0.98	 218.4	 4.2	 0.37	0.13	 0.22	0.24	     	     	   	     	
Car-0150	1R  	3088.572	06	41	06.90	-	50	56	05.8	20.46	 0.93	 -33.3	 4.9	 0.38	0.03	 0.59	0.09	0.000	     	   	     	
Car-0151	1R  	3088.572	06	41	05.70	-	50	52	59.6	19.27	 1.15	 218.1	 9.8	 0.33	0.02	 0.43	0.08	1.000	     	   	     	
Car-0152	1R  	3088.572	06	41	05.49	-	50	53	28.9	19.03	 1.06	 213.3	 9.6	 0.43	0.02	 0.24	0.09	1.000	     	   	     	
Car-0153	1R  	3088.572	06	41	12.40	-	50	51	52.1	19.33	 1.08	 233.6	 8.2	 0.32	0.03	 0.39	0.09	1.000	233.8	6.6	 0.39	0.09
Car-0153	1R  	4122.701	06	41	12.40	-	50	51	52.1	19.33	 1.08	 234.2	11.0	     	    	     	    	     	     	   	     	
Car-0154	1R  	3088.572	06	41	12.84	-	50	54	20.0	19.41	 1.14	 218.3	 7.1	 0.37	0.01	 0.38	0.08	1.000	218.0	5.0	 0.39	0.07
Car-0154	1R  	4557.518	06	41	12.84	-	50	54	20.0	19.41	 1.14	 217.7	 6.9	 0.27	0.16	 0.48	0.21	     	     	   	     	
Car-0155	1R  	3088.572	06	41	10.55	-	50	55	52.9	18.00	 1.38	 230.1	 1.7	 0.42	0.02	 0.49	0.08	1.000	     	   	     	
Car-0156	1R  	3088.572	06	41	07.98	-	50	57	27.9	20.26	 0.89	 -30.5	 7.2	 0.27	0.05	 0.62	0.10	0.000	     	   	     	
Car-0157	1R  	3088.572	06	41	03.60	-	50	58	41.8	18.81	 1.13	  19.1	 3.2	 0.25	0.02	 0.91	0.09	0.000	     	   	     	
Car-0158	1R  	3088.572	06	41	36.88	-	50	50	07.1	17.91	 1.44	 237.7	 1.6	 0.40	0.01	 0.48	0.08	0.998	237.8	1.6	 0.48	0.08
Car-0158	1R  	4122.701	06	41	36.88	-	50	50	07.1	17.91	 1.44	 239.5	 5.6	     	    	     	    	     	     	   	     	
Car-0159	1R  	3088.572	06	41	27.55	-	51	00	34.8	18.64	 1.19	 235.2	 3.7	 0.38	0.02	 0.41	0.08	1.000	235.9	2.5	 0.41	0.08
Car-0159	1R  	4122.701	06	41	27.55	-	51	00	34.8	18.64	 1.19	 236.5	 3.5	     	    	     	    	     	     	   	     	
Car-0160	1R  	3088.572	06	41	15.66	-	50	59	48.0	17.81	 1.39	 225.3	 1.2	 0.43	0.01	 0.51	0.08	1.000	224.7	0.7	 0.53	0.06
Car-0160	12R 	3090.551	06	41	15.66	-	50	59	48.0	17.81	 1.39	 225.4	 1.1	 0.39	0.02	 0.54	0.08	     	     	   	     	
Car-0160	1R  	4122.701	06	41	15.66	-	50	59	48.0	17.81	 1.39	 223.3	 1.2	     	    	     	    	     	     	   	     	
Car-0161	1R  	3088.572	06	42	06.68	-	50	52	02.2	20.57	 0.80	 228.7	12.2	 0.48	0.07	 0.89	0.12	0.230	     	   	     	
Car-0162	1R  	3088.572	06	41	53.45	-	50	56	57.5	19.04	 1.07	 224.1	11.8	 0.32	0.03	 0.64	0.09	0.996	235.0	6.4	 0.61	0.08
Car-0162	1R  	4120.709	06	41	53.45	-	50	56	57.5	19.04	 1.07	 245.6	10.1	     	    	     	    	     	     	   	     	
Car-0162	1R  	4557.518	06	41	53.45	-	50	56	57.5	19.04	 1.07	 231.3	11.8	 0.23	0.10	 0.51	0.17	     	     	   	     	
Car-0163	1R  	3088.572	06	41	55.30	-	50	57	43.6	18.57	 1.23	 217.9	 2.2	 0.38	0.02	 0.35	0.08	1.000	218.1	1.9	 0.38	0.07
Car-0163	1R  	4557.518	06	41	55.30	-	50	57	43.6	18.57	 1.23	 218.5	 3.9	 0.47	0.08	 0.52	0.16	     	     	   	     	
Car-0164	1R  	3088.572	06	41	44.56	-	50	57	44.4	20.13	 1.02	 224.9	11.9	 0.49	0.03	 0.28	0.11	1.000	224.5	5.7	 0.28	0.11
Car-0164	1R  	4122.587	06	41	44.56	-	50	57	44.4	20.13	 1.02	 224.4	 6.5	     	    	     	    	     	     	   	     	
Car-0165	1R  	3088.572	06	42	17.46	-	50	56	26.1	18.70	 1.18	 227.8	 5.1	 0.42	0.02	 0.49	0.08	1.000	231.5	1.3	 0.48	0.06
Car-0165	25R 	3411.554	06	42	17.46	-	50	56	26.1	18.70	 1.18	 233.5	 1.5	 0.35	0.04	 0.44	0.10	     	     	   	     	
Car-0165	1R  	4123.555	06	42	17.46	-	50	56	26.1	18.70	 1.18	 225.5	 3.0	     	    	     	    	     	     	   	     	
Car-0165	1R  	4554.518	06	42	17.46	-	50	56	26.1	18.70	 1.18	 229.1	 7.8	 0.44	0.09	 0.56	0.17	     	     	   	     	
Car-0166	1R  	3088.572	06	42	12.79	-	50	56	44.0	18.36	 1.25	 226.4	 4.8	 0.39	0.02	 0.40	0.08	1.000	225.7	2.3	 0.45	0.07
Car-0166	1R  	4120.709	06	42	12.79	-	50	56	44.0	18.36	 1.25	 225.4	 2.8	     	    	     	    	     	     	   	     	
Car-0166	1R  	4557.518	06	42	12.79	-	50	56	44.0	18.36	 1.25	 225.9	 8.4	 0.39	0.07	 0.59	0.12	     	     	   	     	
Car-0167	1R  	3088.572	06	42	08.97	-	51	00	47.9	18.60	 1.16	 231.7	 3.7	 0.51	0.03	 0.59	0.09	0.998	233.3	1.6	 0.55	0.08
Car-0167	1R  	4123.555	06	42	08.97	-	51	00	47.9	18.60	 1.16	 233.6	 1.9	     	    	     	    	     	     	   	     	
Car-0167	1R  	4554.518	06	42	08.97	-	51	00	47.9	18.60	 1.16	 234.5	 5.3	 0.44	0.09	 0.33	0.22	     	     	   	     	
Car-0168	1R  	3088.572	06	42	05.37	-	50	57	48.4	18.30	 1.26	 218.6	 2.5	 0.51	0.02	 0.49	0.09	1.000	     	   	     	
Car-0169	12B 	3090.551	06	41	06.81	-	50	57	49.5	20.40	 0.81	 232.9	 3.5	 0.47	0.06	 0.51	0.16	0.999	     	   	     	
Car-0170	12B 	3090.551	06	39	54.02	-	50	56	10.0	20.34	 0.91	 -89.3	 4.9	 0.11	0.09	 0.66	0.13	0.000	     	   	     	
Car-0171	12B 	3090.551	06	40	00.55	-	51	00	35.8	19.77	 0.92	 219.9	 4.2	 0.28	0.06	 0.39	0.12	1.000	     	   	     	
Car-0172	12B 	3090.551	06	40	07.72	-	50	56	56.7	19.04	 1.04	 228.0	 3.0	 0.32	0.04	 0.28	0.09	1.000	     	   	     	
Car-0173	12B 	3090.551	06	40	10.89	-	50	57	24.1	19.25	 0.96	 111.3	 1.6	 0.35	0.05	 0.99	0.06	0.000	     	   	     	
Car-0174	12B 	3090.551	06	40	12.34	-	50	58	13.8	19.07	 1.11	 223.0	 2.8	 0.28	0.04	 0.41	0.10	1.000	     	   	     	
Car-0175	12B 	3090.551	06	40	11.97	-	51	04	18.3	20.72	 1.08	-137.4	 4.9	 0.76	0.09	 0.49	0.31	0.000	     	   	     	
Car-0176	12B 	3090.551	06	40	13.80	-	51	03	19.4	18.89	 1.15	 231.8	 2.4	 0.32	0.03	 0.31	0.07	1.000	     	   	     	
Car-0177	12B 	3090.551	06	40	18.48	-	51	01	16.5	20.61	 0.88	 224.3	 5.9	     	    	     	    	0.996	     	   	     	
Car-0178	12B 	3090.551	06	40	21.85	-	51	04	22.8	17.88	 1.46	  17.1	 2.1	 0.34	0.03	 0.81	0.05	0.000	 17.0	1.6	 0.85	0.02
Car-0178	11B 	3091.521	06	40	21.85	-	51	04	22.8	17.88	 1.46	  16.8	 2.5	 0.33	0.01	 0.86	0.02	     	     	   	     	
Car-0179	12B 	3090.551	06	40	24.20	-	50	53	49.2	20.39	 0.90	 230.8	 5.1	 0.33	0.06	 0.40	0.12	1.000	225.2	2.7	 0.40	0.10
Car-0179	26B 	3418.552	06	40	24.20	-	50	53	49.2	20.39	 0.90	 223.0	 3.2	 0.32	0.09	 0.39	0.17	     	     	   	     	
Car-0180	12B 	3090.551	06	40	31.13	-	50	55	24.6	17.80	 1.41	 212.8	 0.6	 0.44	0.02	 0.49	0.03	0.999	     	   	     	
Car-0181	12B 	3090.551	06	40	32.24	-	50	56	15.2	19.23	 1.06	  69.8	 1.3	 0.38	0.03	 0.95	0.04	0.000	 69.1	1.2	 0.95	0.04
Car-0181	1R  	4120.709	06	40	32.24	-	50	56	15.2	19.23	 1.06	  64.3	 3.3	     	    	     	    	     	     	   	     	
Car-0182	12B 	3090.551	06	40	35.04	-	50	56	36.3	19.45	 1.00	 228.4	 1.5	 0.31	0.03	 0.42	0.05	1.000	     	   	     	
Car-0183	12B 	3090.551	06	40	35.70	-	50	54	41.2	20.69	 1.05	 133.0	 5.1	 0.38	0.25	 0.27	0.30	0.000	131.7	2.3	 0.59	0.17
Car-0183	26B 	3418.552	06	40	35.70	-	50	54	41.2	20.69	 1.05	 131.4	 2.6	 0.31	0.14	 0.75	0.22	     	     	   	     	
Car-0184	12B 	3090.551	06	40	38.32	-	50	56	05.6	19.47	 1.10	 228.0	 2.2	 0.28	0.03	 0.42	0.06	1.000	     	   	     	
Car-0185	12B 	3090.551	06	40	37.66	-	50	56	25.6	19.00	 1.24	  15.9	 1.7	 0.38	0.03	 0.83	0.05	0.000	 14.6	1.4	 0.84	0.04
Car-0185	1R  	4554.518	06	40	37.66	-	50	56	25.6	19.00	 1.24	  11.7	 2.5	 0.28	0.08	 0.88	0.11	     	     	   	     	
Car-0186	12B 	3090.551	06	40	41.50	-	51	04	02.4	19.36	 1.06	  31.2	 1.0	 0.34	0.04	 0.97	0.04	0.000	 30.0	0.9	 0.95	0.04
Car-0186	11R 	3091.521	06	40	41.50	-	51	04	02.4	19.36	 1.06	  24.5	 2.2	 0.36	0.03	 0.88	0.10	     	     	   	     	
Car-0187	12B 	3090.551	06	40	42.91	-	51	01	18.9	20.31	 0.84	 224.9	 4.5	 0.39	0.05	 0.38	0.12	1.000	222.3	3.3	 0.38	0.12
Car-0187	1B  	4123.555	06	40	42.91	-	51	01	18.9	20.31	 0.84	 219.4	 4.8	     	    	     	    	     	     	   	     	
Car-0188	12B 	3090.551	06	40	42.48	-	51	00	42.6	18.27	 1.29	 234.7	 1.0	 0.37	0.02	 0.41	0.04	1.000	234.7	1.0	 0.41	0.04
Car-0188	1R  	4122.701	06	40	42.48	-	51	00	42.6	18.27	 1.29	 234.3	 3.8	     	    	     	    	     	     	   	     	
Car-0189	12B 	3090.551	06	40	43.49	-	51	00	23.1	20.02	 0.98	 234.5	 4.7	 0.32	0.05	 0.42	0.11	1.000	     	   	     	
Car-0190	12B 	3090.551	06	40	36.46	-	51	04	59.7	20.35	 0.86	 214.7	 3.4	 0.37	0.05	 0.50	0.10	0.964	212.8	2.5	 0.62	0.08
Car-0190	11B 	3091.521	06	40	36.46	-	51	04	59.7	20.35	 0.86	 210.8	 3.5	 0.32	0.07	 0.77	0.12	     	     	   	     	
Car-0191	12B 	3090.551	06	40	37.54	-	51	00	54.6	20.26	 0.76	 229.9	 3.2	 0.37	0.05	 0.40	0.11	1.000	     	   	     	
Car-0192	12B 	3090.551	06	40	35.60	-	51	00	06.5	18.50	 1.33	  78.5	 2.1	 0.34	0.03	 0.95	0.04	0.000	     	   	     	
Car-0193	12B 	3090.551	06	40	48.58	-	50	57	34.6	19.10	 1.07	 215.1	 1.2	 0.32	0.02	 0.43	0.04	1.000	214.9	1.2	 0.43	0.04
Car-0193	1R  	4122.701	06	40	48.58	-	50	57	34.6	19.10	 1.07	 211.4	 4.8	     	    	     	    	     	     	   	     	
