#Table: J/AJ/137/3100/table5.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Sex-0041|6B  |4124.814|10 13 17.15 -01 26 38.1|18.94| 1.02| 243.0| 0.8|     |    |     |    |     |     |   |     |
Sex-0042|14B |3088.704|10 12 59.18 -01 34 42.6|20.04| 0.96| 217.9| 3.2| 0.25|0.05| 0.24|0.10|1.000|217.2|1.3| 0.42|0.05
Sex-0042|57B |3410.758|10 12 59.18 -01 34 42.6|20.04| 0.96| 218.4| 3.9| 0.46|0.07| 0.40|0.19|     |     |   |     |
Sex-0042|1R  |3411.775|10 12 59.18 -01 34 42.6|20.04| 0.96| 218.3|10.5| 0.45|0.07| 0.45|0.15|     |     |   |     |
Sex-0042|5B  |3416.684|10 12 59.18 -01 34 42.6|20.04| 0.96| 216.6| 1.5| 0.33|0.03| 0.49|0.06|     |     |   |     |
Sex-0042|1R  |4122.822|10 12 59.18 -01 34 42.6|20.04| 0.96| 218.1| 6.1|     |    |     |    |     |     |   |     |
Sex-0042|6R  |4124.814|10 12 59.18 -01 34 42.6|20.04| 0.96| 223.3|10.6|     |    |     |    |     |     |   |     |
Sex-0043|14B |3088.704|10 13 01.34 -01 34 42.9|18.59| 1.12| 223.4| 1.1| 0.38|0.02| 0.42|0.05|1.000|224.1|0.5| 0.40|0.03
Sex-0043|1B  |3089.738|10 13 01.34 -01 34 42.9|18.59| 1.12| 223.9| 0.6| 0.38|0.02| 0.39|0.04|     |     |   |     |
Sex-0043|1R  |3411.775|10 13 01.34 -01 34 42.9|18.59| 1.12| 224.2| 2.5| 0.41|0.03| 0.40|0.10|     |     |   |     |
Sex-0043|5R  |3416.684|10 13 01.34 -01 34 42.9|18.59| 1.12| 225.6| 5.2| 0.34|0.04| 0.41|0.09|     |     |   |     |
Sex-0043|1R  |4122.822|10 13 01.34 -01 34 42.9|18.59| 1.12| 226.2| 1.4|     |    |     |    |     |     |   |     |
Sex-0044|14B |3088.704|10 13 00.33 -01 31 47.7|19.99| 0.87| 224.6| 1.7| 0.27|0.05| 0.51|0.08|1.000|227.7|1.1| 0.35|0.05
Sex-0044|57B |3410.758|10 13 00.33 -01 31 47.7|19.99| 0.87| 233.8| 4.8| 0.30|0.05| 0.26|0.13|     |     |   |     |
Sex-0044|1B  |3411.775|10 13 00.33 -01 31 47.7|19.99| 0.87| 228.7| 1.7| 0.30|0.04| 0.18|0.09|     |     |   |     |
Sex-0044|1B  |4122.822|10 13 00.33 -01 31 47.7|19.99| 0.87| 236.0| 5.2|     |    |     |    |     |     |   |     |
Sex-0044|6B  |4124.814|10 13 00.33 -01 31 47.7|19.99| 0.87| 228.8| 2.9|     |    |     |    |     |     |   |     |
Sex-0045|14B |3088.704|10 12 58.11 -01 28 43.4|19.34| 0.76| 103.9| 0.6| 0.42|0.03| 0.72|0.06|0.000|104.1|0.6| 0.84|0.04
Sex-0045|1B  |3089.738|10 12 58.11 -01 28 43.4|19.34| 0.76| 104.5| 1.1| 0.31|0.06| 1.01|0.06|     |     |   |     |
Sex-0045|57R |3410.758|10 12 58.11 -01 28 43.4|19.34| 0.76| 109.5| 8.0| 0.54|0.08| 0.65|0.17|     |     |   |     |
Sex-0046|14B |3088.704|10 12 58.84 -01 28 25.8|19.82| 1.00| 227.6| 1.6| 0.32|0.05| 0.46|0.10|0.999|227.3|0.8| 0.39|0.05
Sex-0046|1B  |3089.738|10 12 58.84 -01 28 25.8|19.82| 1.00| 232.0| 4.2| 0.47|0.06| 0.22|0.18|     |     |   |     |
Sex-0046|57B |3410.758|10 12 58.84 -01 28 25.8|19.82| 1.00| 225.4| 1.4| 0.41|0.04| 0.39|0.09|     |     |   |     |
Sex-0046|1B  |3411.775|10 12 58.84 -01 28 25.8|19.82| 1.00| 228.0| 1.2| 0.39|0.04| 0.37|0.08|     |     |   |     |
Sex-0046|6R  |4124.814|10 12 58.84 -01 28 25.8|19.82| 1.00| 226.9| 7.2|     |    |     |    |     |     |   |     |
Sex-0047|14B |3088.704|10 12 59.49 -01 28 03.4|19.55| 0.93| 218.5| 2.0| 0.35|0.03| 0.43|0.06|0.999|217.9|1.6| 0.38|0.05
Sex-0047|57B |3410.758|10 12 59.49 -01 28 03.4|19.55| 0.93| 216.9| 2.6| 0.31|0.04| 0.31|0.09|     |     |   |     |
Sex-0047|1R  |3411.775|10 12 59.49 -01 28 03.4|19.55| 0.93| 216.3|11.1| 0.36|0.06| 0.31|0.14|     |     |   |     |
Sex-0048|14B |3088.704|10 12 52.40 -01 35 07.3|20.31| 0.98| 224.2| 3.8| 0.28|0.07| 0.35|0.12|1.000|220.7|2.2| 0.38|0.08
Sex-0048|57B |3410.758|10 12 52.40 -01 35 07.3|20.31| 0.98| 219.7| 5.5| 0.35|0.08| 0.43|0.16|     |     |   |     |
Sex-0048|1B  |3411.775|10 12 52.40 -01 35 07.3|20.31| 0.98| 221.0| 5.6| 0.33|0.06| 0.36|0.14|     |     |   |     |
