#Table: J/AJ/137/3100/table3.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
For-0085|15B |3287.826|02 40 49.76 -34 42 49.1|19.33| 1.25|  70.1| 1.1| 0.43|0.05| 0.29|0.18|0.972|     |   |     |
For-0086|15B |3287.826|02 40 43.81 -34 41 43.4|19.02| 1.25|  46.1| 0.5| 0.61|0.03| 1.01|0.05|0.810|     |   |     |
For-0087|15B |3287.826|02 40 53.30 -34 41 03.9|18.99| 1.29|  53.5| 0.4| 0.60|0.02| 0.87|0.06|0.979|     |   |     |
For-0088|15B |3287.826|02 40 43.47 -34 40 33.9|19.19| 1.26|  58.8| 0.6| 0.58|0.02| 1.04|0.07|0.864|     |   |     |
For-0089|15B |3287.826|02 40 41.52 -34 38 19.4|19.34| 1.22|  73.1| 0.5|     |    |     |    |0.975|     |   |     |
For-0090|15B |3287.826|02 40 50.11 -34 36 07.5|19.04| 1.21|  53.4| 0.4| 0.58|0.02| 0.94|0.06|0.945|     |   |     |
For-0091|15B |3287.826|02 40 48.27 -34 35 09.4|19.19| 1.17|  45.7| 0.7| 0.66|0.03| 1.13|0.10|0.761|     |   |     |
For-0092|15B |3287.826|02 40 35.92 -34 41 53.9|20.08| 1.02|  39.3| 1.3|     |    | 1.14|0.08|0.395|     |   |     |
For-0093|15B |3287.826|02 40 33.61 -34 41 32.6|19.95| 1.42|  60.5| 0.6|     |    |     |    |0.988|     |   |     |
For-0094|15B |3287.826|02 40 35.92 -34 38 20.3|19.14| 0.97|  62.7| 0.6| 0.56|0.03| 0.85|0.06|0.983|     |   |     |
For-0095|15R |3287.826|02 40 16.75 -34 30 55.2|19.07| 1.38|  55.7| 3.4| 0.37|0.06| 0.58|0.12|0.990| 71.2|0.3| 0.74|0.03
For-0095|4B  |4019.683|02 40 16.75 -34 30 55.2|19.07| 1.38|  70.2| 0.5| 0.56|0.03| 0.63|0.06|     |     |   |     |
For-0095|4B  |4021.610|02 40 16.75 -34 30 55.2|19.07| 1.38|  72.0| 0.4| 0.56|0.02| 0.80|0.03|     |     |   |     |
For-0096|15R |3287.826|02 40 06.02 -34 41 32.4|18.85| 1.36|  38.6| 7.9| 0.38|0.08| 0.55|0.15|0.989| 44.4|0.6| 0.48|0.07
For-0096|592B|3666.797|02 40 06.02 -34 41 32.4|18.85| 1.36|  44.5| 0.6| 0.55|0.03| 0.46|0.08|     |     |   |     |
For-0097|15R |3287.826|02 40 39.12 -34 32 38.1|18.81| 1.27|  60.2| 2.4| 0.37|0.05| 0.57|0.10|0.995| 57.7|1.5| 0.61|0.06
For-0097|33B |4026.689|02 40 39.12 -34 32 38.1|18.81| 1.27|  56.0| 1.9| 0.36|0.05| 0.64|0.08|     |     |   |     |
For-0098|15R |3287.826|02 40 43.80 -34 30 31.0|18.85| 1.31|  71.7| 2.0| 0.46|0.03| 0.48|0.09|0.991| 70.6|1.5| 0.59|0.06
For-0098|33B |4026.689|02 40 43.80 -34 30 31.0|18.85| 1.31|  69.5| 2.1| 0.42|0.05| 0.68|0.09|     |     |   |     |
For-0099|15R |3287.826|02 40 43.06 -34 31 10.5|18.92| 1.28|  65.8| 3.1| 0.38|0.06| 0.68|0.11|0.690| 63.7|1.6| 1.05|0.05
For-0099|33B |4026.689|02 40 43.06 -34 31 10.5|18.92| 1.28|  62.9| 1.9| 0.39|0.06| 1.12|0.05|     |     |   |     |
For-0100|15R |3287.826|02 40 54.55 -34 33 16.2|18.70| 1.27|  79.9| 2.7| 0.39|0.04| 0.46|0.10|0.981| 75.9|1.1| 0.55|0.06
For-0100|33B |4026.689|02 40 54.55 -34 33 16.2|18.70| 1.27|  75.2| 1.2| 0.52|0.03| 0.59|0.07|     |     |   |     |
For-0101|15R |3287.826|02 40 49.05 -34 38 12.4|18.76| 1.36|  78.5| 3.0| 0.46|0.07| 0.86|0.11|0.964| 78.9|1.6| 0.74|0.09
For-0101|33B |4026.689|02 40 49.05 -34 38 12.4|18.76| 1.36|  79.0| 1.9|     |    | 0.56|0.13|     |     |   |     |
For-0102|15R |3287.826|02 40 43.05 -34 35 11.2|18.80| 1.31|  52.5| 1.8| 0.37|0.05| 0.56|0.10|0.994| 53.3|1.6| 0.54|0.09
For-0102|33B |4026.689|02 40 43.05 -34 35 11.2|18.80| 1.31|  56.5| 3.8| 0.32|0.10| 0.41|0.21|     |     |   |     |
For-0103|15R |3287.826|02 39 59.41 -34 34 21.5|18.49| 1.23|  35.0| 6.5| 0.32|0.06| 0.37|0.12|0.971|     |   |     |
For-0104|15R |3287.826|02 39 55.85 -34 34 33.7|18.87| 1.19|  69.8| 7.5| 0.43|0.05| 0.23|0.14|0.969|     |   |     |
For-0105|15R |3287.826|02 39 58.73 -34 34 40.6|18.73| 1.39|  55.5| 1.4| 0.47|0.03| 0.64|0.09|0.996|     |   |     |
For-0106|15R |3287.826|02 39 53.64 -34 35 14.7|18.81| 1.33|  43.4| 2.7| 0.38|0.04| 0.55|0.10|0.993|     |   |     |
For-0107|15R |3287.826|02 39 57.46 -34 35 48.5|18.33| 1.54|  58.2| 2.8| 0.40|0.04| 0.75|0.10|0.995|     |   |     |
For-0108|15R |3287.826|02 40 02.09 -34 36 32.8|18.52| 1.53|  63.8| 2.2| 0.54|0.03| 0.57|0.10|0.994|     |   |     |
For-0109|15R |3287.826|02 40 01.85 -34 36 56.4|18.59| 1.43|  46.3| 2.8| 0.40|0.04| 0.71|0.10|0.992|     |   |     |
For-0110|15R |3287.826|02 40 02.81 -34 32 07.3|18.80| 1.41|  65.7| 1.7| 0.35|0.04| 0.63|0.10|0.997|     |   |     |
For-0111|15R |3287.826|02 40 06.47 -34 35 33.2|19.13| 1.44|  73.9| 5.1| 0.45|0.05| 0.46|0.13|0.987|     |   |     |
For-0112|15R |3287.826|02 40 05.09 -34 35 41.7|18.61| 1.33|  42.6| 2.3| 0.40|0.04| 0.37|0.10|0.982|     |   |     |
For-0113|15R |3287.826|02 40 03.95 -34 36 15.7|18.23| 1.50|  72.0| 2.6| 0.43|0.03| 0.40|0.09|0.976|     |   |     |
For-0114|15R |3287.826|02 40 04.99 -34 36 33.0|18.45| 1.54|  56.6| 2.0| 0.47|0.03| 0.56|0.10|0.995|     |   |     |
For-0115|15R |3287.826|02 40 13.72 -34 36 54.0|18.15| 1.42|  75.2| 2.1| 0.35|0.03| 0.41|0.09|0.970|     |   |     |
For-0116|15R |3287.826|02 40 12.84 -34 37 21.8|19.04| 1.44|  58.4| 1.7| 0.42|0.04| 0.55|0.10|0.994|     |   |     |
For-0117|15R |3287.826|02 40 00.47 -34 41 50.6|18.45| 1.53|  58.8| 5.2| 0.61|0.05| 0.54|0.15|0.993|     |   |     |
For-0118|15R |3287.826|02 39 59.51 -34 39 44.5|18.34| 1.47|  58.1| 5.5| 0.36|0.09| 0.51|0.14|0.993|     |   |     |
